,type,zola,water,price,heat,sera
0,мазут,0.045,0.287,1118.0,39902.141,0.943
1,мазут,0.033,0.309,1327.0,39647.066,1.176
2,мазут,0.062,0.104,1248.0,40044.434,1.992
3,мазут,0.036,0.285,1296.0,40210.831,0.586
4,мазут,0.074,0.444,1363.0,39950.909,1.055
5,мазут,0.034,0.29,1204.0,40036.411,2.127
6,мазут,0.055,0.29,1057.0,39829.532,2.056
7,мазут,0.023,0.274,1356.0,40918.457,2.191
8,мазут,0.025,0.112,1299.0,40030.103,0.979
9,мазут,0.026,0.352,1297.0,40895.762,2.34
10,мазут,0.067,0.11,1182.0,40513.335,1.148
11,мазут,0.056,0.153,1094.0,40574.193,3.783
12,мазут,0.081,0.176,1265.0,40507.455,1.912
13,мазут,0.039,0.104,1020.0,40386.849,1.374
14,мазут,0.042,0.341,1389.0,40684.673,1.992
15,мазут,0.036,0.041,1166.0,39609.838,1.227
16,мазут,0.022,0.1,1273.0,39845.7,1.691
17,мазут,0.059,0.244,1131.0,40211.35,3.169
18,мазут,0.046,0.168,1304.0,40140.009,2.56
19,мазут,0.048,0.008,1230.0,39786.024,2.74
20,мазут,0.074,0.164,1224.0,40935.325,0.981
21,мазут,0.056,0.052,1289.0,39401.09,0.609
22,мазут,0.109,0.173,1093.0,39570.359,2.559
23,мазут,0.075,0.212,1460.0,40192.496,1.639
24,мазут,0.031,0.132,1358.0,39763.642,3.5
25,мазут,0.048,0.24,1457.0,40214.65,1.103
26,мазут,0.058,0.141,1370.0,40108.889,0.863
27,мазут,0.077,0.1,1049.0,39839.699,2.434
28,мазут,0.026,0.115,1102.0,40980.299,1.873
29,мазут,0.042,0.007,1170.0,40405.876,1.537
30,мазут,0.046,0.099,1294.0,40155.793,0.436
31,мазут,0.049,0.235,1297.0,40233.298,2.435
32,мазут,0.04,0.016,1023.0,39757.626,3.183
33,мазут,0.028,0.231,1074.0,40169.16,1.082
34,мазут,0.089,0.045,1145.0,39616.406,1.455
35,мазут,0.036,0.08,1302.0,39886.091,0.769
36,мазут,0.039,0.198,1398.0,39395.505,1.086
37,мазут,0.074,0.134,1343.0,39938.099,3.104
38,мазут,0.039,0.054,1456.0,39734.265,0.864
39,мазут,0.03,0.143,1310.0,39548.421,1.832
40,мазут,0.023,0.381,1187.0,39205.339,2.001
41,мазут,0.094,0.061,1402.0,40484.767,0.476
42,мазут,0.051,0.034,1269.0,39625.984,2.382
43,мазут,0.054,0.026,1445.0,39660.524,2.616
44,мазут,0.066,0.185,1368.0,39662.788,1.204
45,мазут,0.053,0.048,1353.0,39666.181,0.56
46,мазут,0.031,0.2,1185.0,40333.485,3.443
47,мазут,0.064,0.349,1104.0,40482.044,1.844
48,мазут,0.025,0.35,1350.0,40101.319,0.651
49,мазут,0.096,0.284,1415.0,39823.151,1.897
50,мазут,0.058,0.116,1240.0,39755.676,0.369
51,мазут,0.032,0.195,1310.0,39601.059,1.195
52,мазут,0.029,0.32,1306.0,40582.306,1.152
53,мазут,0.02,0.121,1313.0,39733.793,3.806
54,мазут,0.08,0.054,1227.0,40406.445,2.122
55,мазут,0.106,0.174,1389.0,39186.062,0.904
56,мазут,0.049,0.25,1104.0,39324.098,1.754
57,мазут,0.035,0.068,1161.0,39914.521,3.692
58,мазут,0.056,0.464,1270.0,39983.808,1.401
59,мазут,0.06,0.062,1070.0,39643.22,3.041
60,мазут,0.038,0.319,1150.0,39352.895,1.692
61,мазут,0.043,0.443,1332.0,39566.56,1.531
62,мазут,0.026,0.312,1387.0,40272.797,2.073
63,мазут,0.054,0.168,1462.0,39704.667,2.954
64,мазут,0.07,0.335,1091.0,39899.596,3.741
65,мазут,0.031,0.255,1278.0,40233.177,2.624
66,мазут,0.073,0.226,1409.0,39967.527,0.952
67,мазут,0.032,0.186,1160.0,40371.718,1.558
68,мазут,0.073,0.047,1352.0,40003.341,0.773
69,мазут,0.088,0.198,1185.0,39719.526,2.462
